YEAR;MO;DY;HR;T2M
2018;1;1;0;0.05
2018;1;1;1;0.23
2018;1;1;2;0.33
2018;1;1;3;0.4
2018;1;1;4;0.48
2018;1;1;5;0.63
2018;1;1;6;0.86
2018;1;1;7;1.21
2018;1;1;8;1.94
2018;1;1;9;2.67
2018;1;1;10;3.26
2018;1;1;11;3.79
2018;1;1;12;4.12
2018;1;1;13;4.15
2018;1;1;14;3.62
2018;1;1;15;1.92
2018;1;1;16;0.65
2018;1;1;17;0.56
2018;1;1;18;0.4
2018;1;1;19;0.18
2018;1;1;20;0.31
2018;1;1;21;0.9
2018;1;1;22;1.29
2018;1;1;23;1.8
2018;1;2;0;3.44
2018;1;2;1;3.66
2018;1;2;2;3.12
2018;1;2;3;2.18
2018;1;2;4;1.4
2018;1;2;5;0.72
2018;1;2;6;0.35
2018;1;2;7;0.42
2018;1;2;8;1.08
2018;1;2;9;1.76
2018;1;2;10;2.09
2018;1;2;11;1.53
2018;1;2;12;1.09
2018;1;2;13;0.83
2018;1;2;14;0.49
2018;1;2;15;0.09
2018;1;2;16;-0.37
2018;1;2;17;-0.47
2018;1;2;18;-0.35
2018;1;2;19;-0.17
2018;1;2;20;-0.11
2018;1;2;21;-0.35
2018;1;2;22;-0.58
2018;1;2;23;-1.2
2018;1;3;0;-2.34
2018;1;3;1;-2.62
2018;1;3;2;-2.67
2018;1;3;3;-2.87
2018;1;3;4;-3.04
2018;1;3;5;-3.17
2018;1;3;6;-3.02
2018;1;3;7;-3.27
2018;1;3;8;-1.48
2018;1;3;9;0.28
2018;1;3;10;1.5
2018;1;3;11;2.68
2018;1;3;12;3.62
2018;1;3;13;3.76
2018;1;3;14;2.93
2018;1;3;15;1.68
2018;1;3;16;0.15
2018;1;3;17;-0.03
2018;1;3;18;-0.02
2018;1;3;19;-0.21
2018;1;3;20;-0.75
2018;1;3;21;-0.97
2018;1;3;22;-1.18
2018;1;3;23;-2.11
2018;1;4;0;-2.45
2018;1;4;1;-2.2
2018;1;4;2;-3.07
2018;1;4;3;-3.73
2018;1;4;4;-3.66
2018;1;4;5;-2.85
2018;1;4;6;-2.13
2018;1;4;7;-1.83
2018;1;4;8;-0.17
2018;1;4;9;1.82
2018;1;4;10;3.24
2018;1;4;11;4.6
2018;1;4;12;5.01
2018;1;4;13;4.51
2018;1;4;14;3.19
2018;1;4;15;0.71
2018;1;4;16;-1.17
2018;1;4;17;-0.53
2018;1;4;18;-0.66
2018;1;4;19;-0.62
2018;1;4;20;-0.42
2018;1;4;21;-0.2
2018;1;4;22;-0.2
2018;1;4;23;0.07
2018;1;5;0;0.15
2018;1;5;1;0.3
2018;1;5;2;0.51
2018;1;5;3;0.48
2018;1;5;4;0.34
2018;1;5;5;0.48
2018;1;5;6;0.38
2018;1;5;7;0.51
2018;1;5;8;1.93
2018;1;5;9;3.48
2018;1;5;10;5.22
2018;1;5;11;6.58
2018;1;5;12;7.14
2018;1;5;13;6.81
2018;1;5;14;5.73
2018;1;5;15;3.9
2018;1;5;16;2.37
2018;1;5;17;1.84
2018;1;5;18;1.28
2018;1;5;19;1.1
2018;1;5;20;1.22
2018;1;5;21;1.39
2018;1;5;22;1.66
2018;1;5;23;1.86
2018;1;6;0;1.98
2018;1;6;1;2.14
2018;1;6;2;2.4
2018;1;6;3;2.54
2018;1;6;4;2.66
2018;1;6;5;2.74
2018;1;6;6;2.94
2018;1;6;7;3.16
2018;1;6;8;3.87
2018;1;6;9;5.13
2018;1;6;10;6.51
2018;1;6;11;8.02
2018;1;6;12;8.87
2018;1;6;13;8.97
2018;1;6;14;8.44
2018;1;6;15;6.41
2018;1;6;16;4.28
2018;1;6;17;4.12
2018;1;6;18;4.14
2018;1;6;19;4.05
2018;1;6;20;4.76
2018;1;6;21;5.45
2018;1;6;22;5.72
2018;1;6;23;5.83
