timestep,temperature
0,-0.1
1,-0.2
2,-0.4
3,-0.6
4,-0.5
5,-0.4
6,0.3
7,0.6
8,1.0
9,2.0
10,2.1
11,3.4
12,4.8
13,6.6000000000000005
14,7.1000000000000005
15,6.2
16,5.8
17,5.8
18,6.0
19,5.8
20,5.7
21,6.4
22,6.2
23,6.0
24,6.0
25,5.4
26,5.0
27,4.7
28,4.7
29,4.8
30,4.8
31,4.4
32,4.4
33,5.0
34,4.0
35,3.6
36,3.2
37,2.6
38,2.4
39,2.6
40,2.5
41,2.3000000000000003
42,2.2
43,2.2
44,2.2
45,2.1
46,2.0
47,1.9000000000000001
48,1.7
49,1.5
50,1.4000000000000001
51,1.2
52,1.1
53,1.0
54,1.2
55,1.0
56,1.2
57,2.4
58,2.6
59,4.6000000000000005
60,6.6000000000000005
61,6.8
62,7.4
63,6.8
64,5.8
65,5.4
66,5.0
67,5.6000000000000005
68,3.5
69,1.7
70,1.2
71,1.0
72,0.9
73,0.9
74,0.8
75,0.8
76,0.8
77,0.8
78,0.8
79,0.8
80,1.1
81,1.4000000000000001
82,1.9000000000000001
83,1.9000000000000001
84,2.0
85,2.2
86,2.0
87,2.0
88,2.0
89,1.2
90,1.0
91,0.7000000000000001
92,0.8
93,1.4000000000000001
94,1.5
95,1.6
96,1.6
97,1.7
98,1.9000000000000001
99,2.0
100,2.3000000000000003
101,2.6
102,2.2
103,2.6
104,3.8000000000000003
105,6.8
106,8.4
107,9.1
108,11.4
109,11.1
110,9.8
111,8.4
112,7.1000000000000005
113,5.8
114,4.6000000000000005
115,4.8
116,4.4
117,4.6000000000000005
118,4.0
119,3.4
120,2.8000000000000003
121,3.0
122,3.4
123,4.2
124,3.8000000000000003
125,3.5
126,3.2
127,4.3
128,6.8
129,9.8
130,10.8
131,12.8
132,14.200000000000001
133,14.200000000000001
134,13.0
135,12.6
136,11.1
137,9.3
138,11.6
139,11.8
140,11.9
141,12.0
142,12.0
143,11.9
144,11.9
145,11.9
146,11.8
147,11.9
148,11.6
149,11.4
150,11.4
151,8.4
152,9.200000000000001
153,11.200000000000001
154,12.200000000000001
155,13.0
156,14.4
157,14.0
158,13.8
159,12.8
160,10.6
161,9.8
162,9.4
163,8.5
164,7.6000000000000005
165,7.8
166,7.7
167,7.6000000000000005
168,7.6000000000000005
169,7.5
170,7.5
171,7.4
172,7.5
173,7.6000000000000005
174,11.1
175,9.6
176,10.1
177,11.0
178,12.200000000000001
179,13.700000000000001
180,13.6
181,13.5
182,13.1
183,12.6
184,12.8
185,11.8
186,12.4
187,12.4
188,12.200000000000001
189,11.6
190,10.4
191,9.700000000000001
192,8.700000000000001
193,8.0
194,7.4
195,6.8
196,6.6000000000000005
197,6.8
198,7.0
199,7.1000000000000005
200,7.8
201,9.200000000000001
202,12.1
203,12.4
204,12.9
205,13.0
206,13.4
207,13.1
208,12.4
209,11.1
210,10.9
211,10.700000000000001
212,10.0
213,8.9
214,10.200000000000001
215,11.0
216,11.200000000000001
217,11.0
