"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Bosnia and Herz. (BA)","01.01.2021 00:00 - 01.01.2021 01:00 (CET)","N/A","270","N/A","N/A","870","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1064","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","01.01.2021 01:00 - 01.01.2021 02:00 (CET)","N/A","270","N/A","N/A","868","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1014","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","01.01.2021 02:00 - 01.01.2021 03:00 (CET)","N/A","270","N/A","N/A","866","N/A","N/A","N/A","N/A","N/A","N/A","N/A","936","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","01.01.2021 03:00 - 01.01.2021 04:00 (CET)","N/A","270","N/A","N/A","869","N/A","N/A","N/A","N/A","N/A","N/A","N/A","870","N/A","N/A","N/A","N/A","n/e","N/A","n/e","4"
"Bosnia and Herz. (BA)","01.01.2021 04:00 - 01.01.2021 05:00 (CET)","N/A","183","N/A","N/A","867","N/A","N/A","N/A","N/A","N/A","N/A","N/A","841","N/A","N/A","N/A","N/A","n/e","N/A","n/e","5"
"Bosnia and Herz. (BA)","01.01.2021 05:00 - 01.01.2021 06:00 (CET)","N/A","57","N/A","N/A","899","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1018","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","01.01.2021 06:00 - 01.01.2021 07:00 (CET)","N/A","0","N/A","N/A","923","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1071","N/A","N/A","N/A","N/A","n/e","N/A","n/e","5"
"Bosnia and Herz. (BA)","01.01.2021 07:00 - 01.01.2021 08:00 (CET)","N/A","70","N/A","N/A","922","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1117","N/A","N/A","N/A","N/A","n/e","N/A","n/e","10"
"Bosnia and Herz. (BA)","01.01.2021 08:00 - 01.01.2021 09:00 (CET)","N/A","144","N/A","N/A","926","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1090","N/A","N/A","N/A","N/A","n/e","N/A","n/e","11"
"Bosnia and Herz. (BA)","01.01.2021 09:00 - 01.01.2021 10:00 (CET)","N/A","235","N/A","N/A","909","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1147","N/A","N/A","N/A","N/A","n/e","N/A","n/e","9"
