"Time (CET)","BZN|HR > BZN|BA [MW]","BZN|BA > BZN|HR [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","245"
"01.01.2021 01:00 - 01.01.2021 02:00","0","293"
"01.01.2021 02:00 - 01.01.2021 03:00","0","413"
"01.01.2021 03:00 - 01.01.2021 04:00","0","547"
"01.01.2021 04:00 - 01.01.2021 05:00","0","512"
"01.01.2021 05:00 - 01.01.2021 06:00","0","514"
"01.01.2021 06:00 - 01.01.2021 07:00","0","630"
"01.01.2021 07:00 - 01.01.2021 08:00","0","737"
"01.01.2021 08:00 - 01.01.2021 09:00","0","670"
"01.01.2021 09:00 - 01.01.2021 10:00","0","789"
"01.01.2021 10:00 - 01.01.2021 11:00","0","845"
"01.01.2021 11:00 - 01.01.2021 12:00","0","915"
"01.01.2021 12:00 - 01.01.2021 13:00","0","760"
"01.01.2021 13:00 - 01.01.2021 14:00","0","722"
"01.01.2021 14:00 - 01.01.2021 15:00","0","643"
"01.01.2021 15:00 - 01.01.2021 16:00","0","649"
"01.01.2021 16:00 - 01.01.2021 17:00","0","469"
"01.01.2021 17:00 - 01.01.2021 18:00","0","454"
"01.01.2021 18:00 - 01.01.2021 19:00","0","490"
"01.01.2021 19:00 - 01.01.2021 20:00","0","529"
"01.01.2021 20:00 - 01.01.2021 21:00","0","501"
"01.01.2021 21:00 - 01.01.2021 22:00","0","554"
"01.01.2021 22:00 - 01.01.2021 23:00","0","262"
"01.01.2021 23:00 - 02.01.2021 00:00","0","273"
"02.01.2021 00:00 - 02.01.2021 01:00","0","349"
"02.01.2021 01:00 - 02.01.2021 02:00","0","637"
"02.01.2021 02:00 - 02.01.2021 03:00","0","731"
"02.01.2021 03:00 - 02.01.2021 04:00","0","763"
"02.01.2021 04:00 - 02.01.2021 05:00","0","705"
"02.01.2021 05:00 - 02.01.2021 06:00","0","693"
"02.01.2021 06:00 - 02.01.2021 07:00","0","731"
"02.01.2021 07:00 - 02.01.2021 08:00","0","779"
"02.01.2021 08:00 - 02.01.2021 09:00","0","924"
"02.01.2021 09:00 - 02.01.2021 10:00","0","955"
"02.01.2021 10:00 - 02.01.2021 11:00","0","1038"
"02.01.2021 11:00 - 02.01.2021 12:00","0","1056"
"02.01.2021 12:00 - 02.01.2021 13:00","0","1069"
"02.01.2021 13:00 - 02.01.2021 14:00","0","1063"
"02.01.2021 14:00 - 02.01.2021 15:00","0","989"
"02.01.2021 15:00 - 02.01.2021 16:00","0","1003"
"02.01.2021 16:00 - 02.01.2021 17:00","0","759"
"02.01.2021 17:00 - 02.01.2021 18:00","0","351"
"02.01.2021 18:00 - 02.01.2021 19:00","0","405"
"02.01.2021 19:00 - 02.01.2021 20:00","0","472"
"02.01.2021 20:00 - 02.01.2021 21:00","0","606"
"02.01.2021 21:00 - 02.01.2021 22:00","0","639"
"02.01.2021 22:00 - 02.01.2021 23:00","0","712"
"02.01.2021 23:00 - 03.01.2021 00:00","0","766"
"03.01.2021 00:00 - 03.01.2021 01:00","0","640"
"03.01.2021 01:00 - 03.01.2021 02:00","0","473"
"03.01.2021 02:00 - 03.01.2021 03:00","0","614"
"03.01.2021 03:00 - 03.01.2021 04:00","0","775"
"03.01.2021 04:00 - 03.01.2021 05:00","0","794"
"03.01.2021 05:00 - 03.01.2021 06:00","0","836"
"03.01.2021 06:00 - 03.01.2021 07:00","0","931"
"03.01.2021 07:00 - 03.01.2021 08:00","0","747"
"03.01.2021 08:00 - 03.01.2021 09:00","0","741"
"03.01.2021 09:00 - 03.01.2021 10:00","0","698"
"03.01.2021 10:00 - 03.01.2021 11:00","0","486"
"03.01.2021 11:00 - 03.01.2021 12:00","0","433"
"03.01.2021 12:00 - 03.01.2021 13:00","0","425"
"03.01.2021 13:00 - 03.01.2021 14:00","0","560"
