"Time (CET)","BZN|ME > BZN|BA [MW]","BZN|BA > BZN|ME [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","386"
"01.01.2019 01:00 - 01.01.2019 02:00","1","330"
"01.01.2019 02:00 - 01.01.2019 03:00","2","297"
"01.01.2019 03:00 - 01.01.2019 04:00","2","267"
"01.01.2019 04:00 - 01.01.2019 05:00","4","238"
"01.01.2019 05:00 - 01.01.2019 06:00","3","212"
"01.01.2019 06:00 - 01.01.2019 07:00","8","142"
"01.01.2019 07:00 - 01.01.2019 08:00","1","244"
"01.01.2019 08:00 - 01.01.2019 09:00","6","265"
"01.01.2019 09:00 - 01.01.2019 10:00","7","268"
"01.01.2019 10:00 - 01.01.2019 11:00","2","349"
"01.01.2019 11:00 - 01.01.2019 12:00","1","362"
"01.01.2019 12:00 - 01.01.2019 13:00","0","377"
"01.01.2019 13:00 - 01.01.2019 14:00","7","284"
"01.01.2019 14:00 - 01.01.2019 15:00","7","309"
"01.01.2019 15:00 - 01.01.2019 16:00","0","408"
"01.01.2019 16:00 - 01.01.2019 17:00","0","567"
"01.01.2019 17:00 - 01.01.2019 18:00","0","590"
"01.01.2019 18:00 - 01.01.2019 19:00","0","623"
"01.01.2019 19:00 - 01.01.2019 20:00","0","587"
"01.01.2019 20:00 - 01.01.2019 21:00","0","568"
"01.01.2019 21:00 - 01.01.2019 22:00","4","471"
"01.01.2019 22:00 - 01.01.2019 23:00","1","460"
"01.01.2019 23:00 - 02.01.2019 00:00","0","418"
"02.01.2019 00:00 - 02.01.2019 01:00","0","360"
"02.01.2019 01:00 - 02.01.2019 02:00","0","306"
"02.01.2019 02:00 - 02.01.2019 03:00","0","291"
"02.01.2019 03:00 - 02.01.2019 04:00","1","264"
"02.01.2019 04:00 - 02.01.2019 05:00","2","230"
"02.01.2019 05:00 - 02.01.2019 06:00","7","188"
"02.01.2019 06:00 - 02.01.2019 07:00","18","157"
"02.01.2019 07:00 - 02.01.2019 08:00","17","247"
"02.01.2019 08:00 - 02.01.2019 09:00","2","401"
"02.01.2019 09:00 - 02.01.2019 10:00","1","411"
"02.01.2019 10:00 - 02.01.2019 11:00","1","456"
"02.01.2019 11:00 - 02.01.2019 12:00","2","456"
"02.01.2019 12:00 - 02.01.2019 13:00","2","461"
