"Time (CET)","BZN|RS > BZN|BA [MW]","BZN|BA > BZN|RS [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","0","174"
"01.01.2020 01:00 - 01.01.2020 02:00","0","123"
"01.01.2020 02:00 - 01.01.2020 03:00","0","89"
"01.01.2020 03:00 - 01.01.2020 04:00","0","71"
"01.01.2020 04:00 - 01.01.2020 05:00","0","207"
"01.01.2020 05:00 - 01.01.2020 06:00","0","146"
"01.01.2020 06:00 - 01.01.2020 07:00","0","71"
"01.01.2020 07:00 - 01.01.2020 08:00","22","0"
"01.01.2020 08:00 - 01.01.2020 09:00","18","0"
"01.01.2020 09:00 - 01.01.2020 10:00","37","0"
"01.01.2020 10:00 - 01.01.2020 11:00","23","0"
"01.01.2020 11:00 - 01.01.2020 12:00","67","0"
"01.01.2020 12:00 - 01.01.2020 13:00","55","0"
"01.01.2020 13:00 - 01.01.2020 14:00","52","0"
"01.01.2020 14:00 - 01.01.2020 15:00","1","0"
"01.01.2020 15:00 - 01.01.2020 16:00","0","66"
"01.01.2020 16:00 - 01.01.2020 17:00","0","131"
"01.01.2020 17:00 - 01.01.2020 18:00","0","73"
"01.01.2020 18:00 - 01.01.2020 19:00","0","42"
"01.01.2020 19:00 - 01.01.2020 20:00","0","61"
"01.01.2020 20:00 - 01.01.2020 21:00","0","82"
"01.01.2020 21:00 - 01.01.2020 22:00","0","51"
"01.01.2020 22:00 - 01.01.2020 23:00","0","81"
"01.01.2020 23:00 - 02.01.2020 00:00","0","95"
"02.01.2020 00:00 - 02.01.2020 01:00","0","66"
"02.01.2020 01:00 - 02.01.2020 02:00","0","100"
"02.01.2020 02:00 - 02.01.2020 03:00","0","120"
"02.01.2020 03:00 - 02.01.2020 04:00","0","166"
"02.01.2020 04:00 - 02.01.2020 05:00","0","170"
"02.01.2020 05:00 - 02.01.2020 06:00","0","148"
"02.01.2020 06:00 - 02.01.2020 07:00","0","141"
"02.01.2020 07:00 - 02.01.2020 08:00","0","127"
"02.01.2020 08:00 - 02.01.2020 09:00","0","173"
"02.01.2020 09:00 - 02.01.2020 10:00","0","175"
"02.01.2020 10:00 - 02.01.2020 11:00","0","171"
"02.01.2020 11:00 - 02.01.2020 12:00","0","156"
"02.01.2020 12:00 - 02.01.2020 13:00","0","150"
"02.01.2020 13:00 - 02.01.2020 14:00","0","120"
"02.01.2020 14:00 - 02.01.2020 15:00","0","116"
"02.01.2020 15:00 - 02.01.2020 16:00","0","116"
"02.01.2020 16:00 - 02.01.2020 17:00","0","160"
"02.01.2020 17:00 - 02.01.2020 18:00","0","152"
"02.01.2020 18:00 - 02.01.2020 19:00","0","115"
"02.01.2020 19:00 - 02.01.2020 20:00","0","109"
"02.01.2020 20:00 - 02.01.2020 21:00","0","50"
"02.01.2020 21:00 - 02.01.2020 22:00","26","0"
"02.01.2020 22:00 - 02.01.2020 23:00","59","0"
"02.01.2020 23:00 - 03.01.2020 00:00","17","0"
"03.01.2020 00:00 - 03.01.2020 01:00","6","0"
"03.01.2020 01:00 - 03.01.2020 02:00","0","48"
"03.01.2020 02:00 - 03.01.2020 03:00","0","50"
"03.01.2020 03:00 - 03.01.2020 04:00","0","42"
"03.01.2020 04:00 - 03.01.2020 05:00","0","37"
"03.01.2020 05:00 - 03.01.2020 06:00","0","32"
"03.01.2020 06:00 - 03.01.2020 07:00","0","91"
"03.01.2020 07:00 - 03.01.2020 08:00","0","87"
"03.01.2020 08:00 - 03.01.2020 09:00","0","129"
"03.01.2020 09:00 - 03.01.2020 10:00","0","109"
"03.01.2020 10:00 - 03.01.2020 11:00","0","134"
"03.01.2020 11:00 - 03.01.2020 12:00","0","131"
"03.01.2020 12:00 - 03.01.2020 13:00","0","156"
"03.01.2020 13:00 - 03.01.2020 14:00","0","176"
"03.01.2020 14:00 - 03.01.2020 15:00","0","201"
"03.01.2020 15:00 - 03.01.2020 16:00","0","273"
"03.01.2020 16:00 - 03.01.2020 17:00","0","258"
"03.01.2020 17:00 - 03.01.2020 18:00","0","188"
"03.01.2020 18:00 - 03.01.2020 19:00","0","156"
"03.01.2020 19:00 - 03.01.2020 20:00","0","125"
"03.01.2020 20:00 - 03.01.2020 21:00","0","136"
"03.01.2020 21:00 - 03.01.2020 22:00","0","119"
"03.01.2020 22:00 - 03.01.2020 23:00","0","98"
"03.01.2020 23:00 - 04.01.2020 00:00","0","130"
"04.01.2020 00:00 - 04.01.2020 01:00","0","117"
"04.01.2020 01:00 - 04.01.2020 02:00","0","207"
"04.01.2020 02:00 - 04.01.2020 03:00","0","299"
"04.01.2020 03:00 - 04.01.2020 04:00","0","332"
"04.01.2020 04:00 - 04.01.2020 05:00","0","316"
"04.01.2020 05:00 - 04.01.2020 06:00","0","318"
"04.01.2020 06:00 - 04.01.2020 07:00","0","209"
"04.01.2020 07:00 - 04.01.2020 08:00","0","187"
"04.01.2020 08:00 - 04.01.2020 09:00","0","208"
"04.01.2020 09:00 - 04.01.2020 10:00","0","241"
"04.01.2020 10:00 - 04.01.2020 11:00","0","294"
"04.01.2020 11:00 - 04.01.2020 12:00","0","286"
"04.01.2020 12:00 - 04.01.2020 13:00","0","250"
"04.01.2020 13:00 - 04.01.2020 14:00","0","231"
"04.01.2020 14:00 - 04.01.2020 15:00","0","251"
"04.01.2020 15:00 - 04.01.2020 16:00","0","309"
"04.01.2020 16:00 - 04.01.2020 17:00","0","290"
"04.01.2020 17:00 - 04.01.2020 18:00","0","237"
"04.01.2020 18:00 - 04.01.2020 19:00","0","222"
"04.01.2020 19:00 - 04.01.2020 20:00","0","227"
"04.01.2020 20:00 - 04.01.2020 21:00","0","222"
"04.01.2020 21:00 - 04.01.2020 22:00","0","141"
"04.01.2020 22:00 - 04.01.2020 23:00","0","135"
"04.01.2020 23:00 - 05.01.2020 00:00","0","135"
"05.01.2020 00:00 - 05.01.2020 01:00","0","191"
"05.01.2020 01:00 - 05.01.2020 02:00","0","198"
"05.01.2020 02:00 - 05.01.2020 03:00","0","201"
"05.01.2020 03:00 - 05.01.2020 04:00","0","169"
"05.01.2020 04:00 - 05.01.2020 05:00","0","173"
"05.01.2020 05:00 - 05.01.2020 06:00","0","202"
"05.01.2020 06:00 - 05.01.2020 07:00","0","233"
"05.01.2020 07:00 - 05.01.2020 08:00","0","264"
"05.01.2020 08:00 - 05.01.2020 09:00","0","237"
"05.01.2020 09:00 - 05.01.2020 10:00","0","283"
"05.01.2020 10:00 - 05.01.2020 11:00","0","245"
"05.01.2020 11:00 - 05.01.2020 12:00","0","222"
"05.01.2020 12:00 - 05.01.2020 13:00","0","199"
"05.01.2020 13:00 - 05.01.2020 14:00","0","198"
"05.01.2020 14:00 - 05.01.2020 15:00","0","201"
"05.01.2020 15:00 - 05.01.2020 16:00","0","220"
"05.01.2020 16:00 - 05.01.2020 17:00","0","314"
"05.01.2020 17:00 - 05.01.2020 18:00","0","259"
"05.01.2020 18:00 - 05.01.2020 19:00","0","208"
"05.01.2020 19:00 - 05.01.2020 20:00","0","172"
"05.01.2020 20:00 - 05.01.2020 21:00","0","156"
"05.01.2020 21:00 - 05.01.2020 22:00","0","12"
"05.01.2020 22:00 - 05.01.2020 23:00","0","13"
"05.01.2020 23:00 - 06.01.2020 00:00","0","22"
"06.01.2020 00:00 - 06.01.2020 01:00","0","97"
"06.01.2020 01:00 - 06.01.2020 02:00","0","164"
"06.01.2020 02:00 - 06.01.2020 03:00","0","119"
"06.01.2020 03:00 - 06.01.2020 04:00","0","77"
"06.01.2020 04:00 - 06.01.2020 05:00","0","72"
"06.01.2020 05:00 - 06.01.2020 06:00","0","184"
"06.01.2020 06:00 - 06.01.2020 07:00","0","164"
"06.01.2020 07:00 - 06.01.2020 08:00","0","259"
"06.01.2020 08:00 - 06.01.2020 09:00","0","247"
"06.01.2020 09:00 - 06.01.2020 10:00","0","199"
"06.01.2020 10:00 - 06.01.2020 11:00","0","180"
"06.01.2020 11:00 - 06.01.2020 12:00","0","192"
"06.01.2020 12:00 - 06.01.2020 13:00","0","198"
"06.01.2020 13:00 - 06.01.2020 14:00","0","211"
"06.01.2020 14:00 - 06.01.2020 15:00","0","215"
"06.01.2020 15:00 - 06.01.2020 16:00","0","209"
"06.01.2020 16:00 - 06.01.2020 17:00","0","232"
"06.01.2020 17:00 - 06.01.2020 18:00","0","152"
"06.01.2020 18:00 - 06.01.2020 19:00","0","110"
"06.01.2020 19:00 - 06.01.2020 20:00","0","99"
"06.01.2020 20:00 - 06.01.2020 21:00","0","130"
"06.01.2020 21:00 - 06.01.2020 22:00","0","101"
"06.01.2020 22:00 - 06.01.2020 23:00","0","80"
"06.01.2020 23:00 - 07.01.2020 00:00","0","91"
"07.01.2020 00:00 - 07.01.2020 01:00","0","172"
"07.01.2020 01:00 - 07.01.2020 02:00","0","137"
"07.01.2020 02:00 - 07.01.2020 03:00","0","157"
"07.01.2020 03:00 - 07.01.2020 04:00","0","143"
"07.01.2020 04:00 - 07.01.2020 05:00","0","157"
"07.01.2020 05:00 - 07.01.2020 06:00","0","231"
"07.01.2020 06:00 - 07.01.2020 07:00","0","276"
"07.01.2020 07:00 - 07.01.2020 08:00","0","238"
"07.01.2020 08:00 - 07.01.2020 09:00","0","179"
"07.01.2020 09:00 - 07.01.2020 10:00","0","161"
"07.01.2020 10:00 - 07.01.2020 11:00","0","188"
"07.01.2020 11:00 - 07.01.2020 12:00","0","202"
"07.01.2020 12:00 - 07.01.2020 13:00","0","214"
"07.01.2020 13:00 - 07.01.2020 14:00","0","226"
"07.01.2020 14:00 - 07.01.2020 15:00","0","216"
"07.01.2020 15:00 - 07.01.2020 16:00","0","179"
"07.01.2020 16:00 - 07.01.2020 17:00","0","164"
"07.01.2020 17:00 - 07.01.2020 18:00","0","158"
"07.01.2020 18:00 - 07.01.2020 19:00","0","171"
"07.01.2020 19:00 - 07.01.2020 20:00","0","163"
"07.01.2020 20:00 - 07.01.2020 21:00","0","161"
"07.01.2020 21:00 - 07.01.2020 22:00","0","221"
"07.01.2020 22:00 - 07.01.2020 23:00","0","218"
"07.01.2020 23:00 - 08.01.2020 00:00","0","207"
"08.01.2020 00:00 - 08.01.2020 01:00","0","233"
"08.01.2020 01:00 - 08.01.2020 02:00","0","201"
"08.01.2020 02:00 - 08.01.2020 03:00","0","216"
"08.01.2020 03:00 - 08.01.2020 04:00","0","220"
"08.01.2020 04:00 - 08.01.2020 05:00","0","244"
"08.01.2020 05:00 - 08.01.2020 06:00","0","322"
"08.01.2020 06:00 - 08.01.2020 07:00","0","334"
"08.01.2020 07:00 - 08.01.2020 08:00","0","334"
"08.01.2020 08:00 - 08.01.2020 09:00","0","358"
"08.01.2020 09:00 - 08.01.2020 10:00","0","299"
"08.01.2020 10:00 - 08.01.2020 11:00","0","294"
"08.01.2020 11:00 - 08.01.2020 12:00","0","245"
"08.01.2020 12:00 - 08.01.2020 13:00","0","244"
"08.01.2020 13:00 - 08.01.2020 14:00","0","271"
"08.01.2020 14:00 - 08.01.2020 15:00","0","271"
"08.01.2020 15:00 - 08.01.2020 16:00","0","336"
"08.01.2020 16:00 - 08.01.2020 17:00","0","322"
"08.01.2020 17:00 - 08.01.2020 18:00","0","309"
"08.01.2020 18:00 - 08.01.2020 19:00","0","261"
"08.01.2020 19:00 - 08.01.2020 20:00","0","247"
"08.01.2020 20:00 - 08.01.2020 21:00","0","305"
"08.01.2020 21:00 - 08.01.2020 22:00","0","286"
"08.01.2020 22:00 - 08.01.2020 23:00","0","277"
"08.01.2020 23:00 - 09.01.2020 00:00","0","257"
"09.01.2020 00:00 - 09.01.2020 01:00","0","344"
"09.01.2020 01:00 - 09.01.2020 02:00","0","335"
"09.01.2020 02:00 - 09.01.2020 03:00","0","279"
"09.01.2020 03:00 - 09.01.2020 04:00","0","246"
"09.01.2020 04:00 - 09.01.2020 05:00","0","277"
"09.01.2020 05:00 - 09.01.2020 06:00","0","310"
"09.01.2020 06:00 - 09.01.2020 07:00","0","284"
"09.01.2020 07:00 - 09.01.2020 08:00","0","376"
"09.01.2020 08:00 - 09.01.2020 09:00","0","340"
"09.01.2020 09:00 - 09.01.2020 10:00","0","314"
"09.01.2020 10:00 - 09.01.2020 11:00","0","313"
"09.01.2020 11:00 - 09.01.2020 12:00","0","290"
"09.01.2020 12:00 - 09.01.2020 13:00","0","309"
"09.01.2020 13:00 - 09.01.2020 14:00","0","302"
"09.01.2020 14:00 - 09.01.2020 15:00","0","310"
"09.01.2020 15:00 - 09.01.2020 16:00","0","360"
"09.01.2020 16:00 - 09.01.2020 17:00","0","353"
"09.01.2020 17:00 - 09.01.2020 18:00","0","294"
"09.01.2020 18:00 - 09.01.2020 19:00","0","244"
"09.01.2020 19:00 - 09.01.2020 20:00","0","218"
"09.01.2020 20:00 - 09.01.2020 21:00","0","157"
"09.01.2020 21:00 - 09.01.2020 22:00","0","210"
"09.01.2020 22:00 - 09.01.2020 23:00","0","239"
"09.01.2020 23:00 - 10.01.2020 00:00","0","245"
"10.01.2020 00:00 - 10.01.2020 01:00","0","256"
"10.01.2020 01:00 - 10.01.2020 02:00","0","228"
"10.01.2020 02:00 - 10.01.2020 03:00","0","261"
"10.01.2020 03:00 - 10.01.2020 04:00","0","250"
"10.01.2020 04:00 - 10.01.2020 05:00","0","262"
