timestep,temperature
0,-0.3912500000000001
1,-0.52125
2,-0.5975000000000001
3,-0.75125
4,-1.05625
5,-1.245
6,-1.53125
7,-1.7937499999999997
8,-1.115
9,0.3587499999999999
10,1.9875
11,3.34625
12,4.03875
13,4.21125
14,3.86125
15,2.4487499999999995
16,1.1187500000000001
17,0.5225000000000001
18,-0.54125
19,-1.5775
20,-2.01625
21,-2.01
22,-1.84625
23,-1.6287500000000001
24,-1.3737499999999996
25,-1.1162499999999997
26,-0.8312500000000003
27,-0.5199999999999998
28,-0.5987500000000001
29,-0.7775000000000001
30,-0.59625
31,-0.75
32,-0.08999999999999986
33,0.83375
34,1.7562499999999999
35,2.145
36,2.06625
37,1.93
38,1.62375
39,0.915
40,-0.1499999999999998
41,-0.48249999999999993
42,-0.7574999999999998
43,-1.02
44,-1.2300000000000002
45,-1.32125
46,-1.3874999999999997
47,-1.4137500000000003
48,-1.4337500000000003
49,-1.545
50,-1.80125
51,-2.2725
52,-2.84
53,-3.4225
54,-3.9175
55,-4.341249999999999
56,-3.895
57,-3.1362499999999995
58,-2.6137499999999996
59,-2.3312500000000003
60,-2.2125000000000004
61,-2.2712499999999998
62,-2.5200000000000005
63,-3.0425
64,-3.8649999999999998
65,-4.29875
66,-4.413750000000001
67,-4.4887500000000005
68,-4.6537500000000005
69,-4.73625
70,-4.738750000000001
71,-4.735
72,-4.81875
73,-4.975
74,-5.1450000000000005
75,-5.267500000000001
76,-5.3100000000000005
77,-5.3625
78,-5.3775
79,-5.282500000000001
80,-4.746250000000001
81,-4.12375
82,-3.605
83,-3.25375
84,-3.0300000000000002
85,-3.0025000000000004
86,-3.1887499999999998
87,-3.762499999999999
88,-4.643750000000001
89,-4.97625
90,-5.18125
91,-5.303750000000001
92,-5.472500000000001
93,-5.767500000000001
94,-6.06125
95,-6.265
96,-6.4937499999999995
97,-6.7700000000000005
98,-7.015
99,-7.192500000000001
100,-7.227500000000001
101,-7.119999999999999
102,-6.695
103,-6.1575
104,-4.983750000000001
105,-3.4825
106,-1.98625
107,-0.69375
108,0.1825
109,0.5325
110,0.3875
111,-0.20499999999999996
112,-0.8325
113,-0.8912499999999997
114,-0.8462500000000001
115,-0.8
116,-0.8225000000000001
117,-0.9162500000000001
118,-0.9374999999999999
119,-0.9537500000000001
120,-0.9600000000000001
121,-0.9749999999999999
122,-1.0599999999999996
123,-1.28375
124,-1.4975
125,-1.71
126,-1.9449999999999998
127,-2.1175
128,-0.98
129,0.35
130,1.25
131,1.7025000000000001
132,1.80875
133,1.4475
134,0.79
135,-0.19999999999999996
136,-1.3487500000000001
137,-1.81
138,-2.0775
139,-2.29375
140,-2.5475
141,-2.7187499999999996
142,-2.8762500000000006
143,-2.9325
144,-3.05125
145,-3.31375
146,-3.67
147,-4.154999999999999
148,-4.792500000000001
149,-5.398750000000001
150,-5.86
151,-6.11125
152,-5.48875
153,-4.251249999999999
154,-3.3937500000000003
155,-2.745
156,-2.33375
157,-2.2274999999999996
158,-2.5075
159,-3.26
160,-4.548750000000001
161,-5.083750000000001
162,-5.4624999999999995
163,-5.9887500000000005
164,-6.655
165,-7.378750000000001
166,-7.978750000000001
167,-8.37875
168,-8.577499999999999
169,-8.645
170,-8.718749999999998
171,-8.72625
172,-8.48875
173,-8.1875
174,-7.795000000000001
175,-7.148749999999999
176,-4.959999999999999
177,-2.69
178,-0.80125
179,0.64625
180,1.2625
181,1.3375
182,0.95125
