YEAR;MO;DY;HR;T2M;WS10M;WD10M;WS50M
2019;1;1;0;-2,39;5,88;33,39;8,52
2019;1;1;1;-2,48;5,86;34,73;8,52
2019;1;1;2;-2,6;5,76;35,22;8,44
2019;1;1;3;-2,68;5,89;34,62;8,52
2019;1;1;4;-2,85;6,06;35,02;8,57
2019;1;1;5;-3,1;6,17;35,68;8,56
2019;1;1;6;-3,32;6,21;37,03;8,55
2019;1;1;7;-3,52;6,18;39,77;8,46
2019;1;1;8;-2,84;6,64;42,28;8,42
2019;1;1;9;-1,78;6,62;46,1;8,01
2019;1;1;10;-0,46;6,27;49,96;7,48
2019;1;1;11;0,69;5,43;51,55;6,45
2019;1;1;12;1,41;4,63;50,62;5,51
2019;1;1;13;1,64;3,89;48,82;4,7
2019;1;1;14;1,26;2,85;46,89;3,91
2019;1;1;15;-0,73;1,97;41,46;3,33
2019;1;1;16;-2,98;2,17;39,14;3,2
2019;1;1;17;-3,48;2,13;43,52;3,07
2019;1;1;18;-3,56;1,94;49,9;2,76
2019;1;1;19;-3,61;1,64;55,86;2,34
2019;1;1;20;-3,94;1,38;60,82;1,95
2019;1;1;21;-4,26;1,17;56,2;1,65
2019;1;1;22;-4,56;1,03;45,31;1,45
2019;1;1;23;-4,72;0,98;37,51;1,34
2019;1;2;0;-4,7;1,01;33,69;1,38
2019;1;2;1;-4,52;1,1;35,16;1,49
2019;1;2;2;-4,31;1,21;38,2;1,63
2019;1;2;3;-4,39;1,49;38,85;2
2019;1;2;4;-4,76;1,9;39,17;2,57
2019;1;2;5;-5,04;2,18;39,91;2,99
2019;1;2;6;-4,61;2,11;42,9;3,05
2019;1;2;7;-4,31;1,84;44,83;2,84
2019;1;2;8;-3,44;1,77;39,45;2,87
2019;1;2;9;-2,39;2,65;36,97;3,2
2019;1;2;10;-1,48;4,35;32,52;5,37
2019;1;2;11;-1,19;5,47;32,8;6,84
2019;1;2;12;-1,21;5,82;34,88;7,48
2019;1;2;13;-1,45;5,51;30,49;7,05
2019;1;2;14;-1,74;4,68;25,62;6,32
2019;1;2;15;-2,17;4,64;24,06;6,82
2019;1;2;16;-2,72;5,62;21,03;8,1
2019;1;2;17;-3,4;6,37;20,3;8,95
2019;1;2;18;-4,35;5,94;20,15;8,66
2019;1;2;19;-4,9;5,6;19,55;8,39
2019;1;2;20;-5,01;5,51;19,98;8,31
2019;1;2;21;-5,04;5,35;21,06;8,18
2019;1;2;22;-5,05;4,94;20,44;7,76
2019;1;2;23;-5,08;4,87;18,03;7,93
2019;1;3;0;-5;5,29;17,1;8,35
2019;1;3;1;-4,9;5,91;16,74;8,91
2019;1;3;2;-4,99;6,65;16,52;9,72
2019;1;3;3;-5,1;7,85;15,82;10,96
2019;1;3;4;-5,67;8,87;16,68;11,96
2019;1;3;5;-6,31;9,48;19,05;12,57
2019;1;3;6;-6,98;9,75;21,2;12,83
2019;1;3;7;-7,36;9,96;22,64;13
2019;1;3;8;-7,25;10,39;23,71;13,29
2019;1;3;9;-6,81;10,79;25,01;13,63
2019;1;3;10;-6,35;10,55;26,24;13,24
2019;1;3;11;-5,94;10,06;26,37;12,64
2019;1;3;12;-5,69;9,51;25,13;11,96
2019;1;3;13;-5,8;8,92;22,93;11,28
2019;1;3;14;-6,15;8,3;21,2;10,59
2019;1;3;15;-6,79;7,36;20,3;9,63
2019;1;3;16;-7,7;6,69;20,45;9,15
2019;1;3;17;-8,03;6,8;21,37;9,32
2019;1;3;18;-8,16;6,75;22,11;9,27
2019;1;3;19;-8,35;6,35;22,27;8,82
2019;1;3;20;-8,49;5,92;22,5;8,33
2019;1;3;21;-8,71;5,39;22,14;7,74
2019;1;3;22;-9,02;4,62;20,06;6,99
2019;1;3;23;-9,28;4,06;17,25;6,53
2019;1;4;0;-9,6;3,55;15,56;6,03
2019;1;4;1;-9,58;3,29;16,11;5,62
2019;1;4;2;-9,4;3,32;16,82;5,7
2019;1;4;3;-9,2;3,51;16,94;5,93
2019;1;4;4;-9,15;4,09;19,2;6,77
2019;1;4;5;-9,06;4,85;22,06;7,62
2019;1;4;6;-9,09;5,16;23,54;7,74
2019;1;4;7;-9,1;5,3;24,56;7,65
2019;1;4;8;-8,39;5,99;26,16;7,88
2019;1;4;9;-7,67;6,83;29,32;8,74
2019;1;4;10;-7,08;7,27;31,56;9,22
2019;1;4;11;-6,64;7,32;32,26;9,17
2019;1;4;12;-6,5;7,09;31,43;8,8
2019;1;4;13;-6,55;6,94;30,58;8,64
2019;1;4;14;-6,82;6,71;29,43;8,43
2019;1;4;15;-7,47;6,07;28,08;7,83
2019;1;4;16;-8,33;5,38;27,91;7,43
2019;1;4;17;-8,66;5,59;28,93;7,72
2019;1;4;18;-8,86;5,61;29,92;7,71
2019;1;4;19;-9,06;5,47;30,96;7,55
2019;1;4;20;-9,29;5,2;32,85;7,28
2019;1;4;21;-9,5;4,99;35,38;7,1
2019;1;4;22;-9,7;4,63;35,86;6,72
2019;1;4;23;-10,05;4,32;35,73;6,49
2019;1;5;0;-10,4;4,09;34,57;6,2
2019;1;5;1;-10,81;3,87;33,88;6,01
2019;1;5;2;-11,14;3,73;32,76;5,68
2019;1;5;3;-11,54;3,4;31,57;5,37
2019;1;5;4;-11,88;3,17;32,83;4,97
2019;1;5;5;-12,22;3,07;34,62;4,77
2019;1;5;6;-12,4;3,03;36,6;4,6
2019;1;5;7;-12,15;3,03;38,41;4,28
2019;1;5;8;-10,31;3,46;38,03;4,1
2019;1;5;9;-8,01;3,36;36,02;3,86
2019;1;5;10;-6,25;2,99;32,86;3,4
2019;1;5;11;-4,61;2,78;24,4;3,27
2019;1;5;12;-3,48;2,51;10,23;3,03
2019;1;5;13;-2,76;2,36;354,1;2,91
2019;1;5;14;-2,55;2,28;338,53;2,91
2019;1;5;15;-3,14;1,32;322,72;2,11
2019;1;5;16;-4,18;1,1;295,11;1,68
2019;1;5;17;-4,49;1,1;280,59;1,73
2019;1;5;18;-4,65;1,1;265,91;1,78
2019;1;5;19;-4,86;1,13;269,6;2,05
2019;1;5;20;-4,98;0,91;280,35;1,73
2019;1;5;21;-5,41;0,68;309,89;1,44
2019;1;5;22;-6;1,31;344,8;2,7
2019;1;5;23;-5,97;2,05;355,85;4,07
2019;1;6;0;-5,38;2,82;356,82;5,21
2019;1;6;1;-5,07;3,35;358;6,06
2019;1;6;2;-5,02;3,59;359,38;6,27
2019;1;6;3;-5,22;3,64;0,86;6,25
2019;1;6;4;-5,52;3,73;3,72;6,51
2019;1;6;5;-5,85;3,66;7,11;6,54
2019;1;6;6;-6,25;3,56;9,36;6,48
2019;1;6;7;-6,35;3,37;9,33;6,15
2019;1;6;8;-4,38;3,37;8,39;5,72
2019;1;6;9;-2,45;4,23;8,38;5,65
2019;1;6;10;-1,26;4,96;6,24;6,58
2019;1;6;11;-0,55;5,71;1,1;7,56
2019;1;6;12;-0,42;6,21;358,05;8,16
2019;1;6;13;-0,82;6,42;357,42;8,36
2019;1;6;14;-1,79;6,04;359,41;7,88
2019;1;6;15;-3,07;5,01;3,22;6,9
2019;1;6;16;-4,24;4,6;6,53;7,14
2019;1;6;17;-4,58;5,06;10,13;7,62
2019;1;6;18;-5,02;5,52;13,66;8,41
2019;1;6;19;-5,31;5,55;15,76;8,37
2019;1;6;20;-5,52;5,47;16,44;8,15
2019;1;6;21;-5,81;5,1;15,82;7,73
2019;1;6;22;-6,1;4,69;13,09;7,4
2019;1;6;23;-6,52;4,39;8,61;7,38
2019;1;7;0;-6,6;4,47;6,32;7,62
2019;1;7;1;-6,54;4,89;6,05;8
2019;1;7;2;-6,5;5,5;6,85;8,28
2019;1;7;3;-6,83;5,98;8,8;8,61
2019;1;7;4;-7,37;6,27;14,64;8,82
2019;1;7;5;-7,98;6,32;22;8,78
2019;1;7;6;-8,5;6,6;27,41;9,16
2019;1;7;7;-8,92;6,85;30,95;9,3
2019;1;7;8;-8,73;7,42;33,14;9,51
2019;1;7;9;-8,23;7,7;34,33;9,57
2019;1;7;10;-7,57;7,58;34,51;9,3
2019;1;7;11;-6,95;7,25;34,86;8,82
2019;1;7;12;-6,56;6,77;35,32;8,22
2019;1;7;13;-6,5;6,17;35,36;7,5
2019;1;7;14;-6,81;5,5;34,64;6,73
2019;1;7;15;-7,54;4,69;33,03;6
2019;1;7;16;-8,85;3,51;31,25;5,35
2019;1;7;17;-9,85;3,23;30,04;5,36
2019;1;7;18;-10,48;3,18;30,09;5,26
2019;1;7;19;-10,81;3,12;30,87;5,2
2019;1;7;20;-11,12;2,98;33,44;5,03
2019;1;7;21;-11,45;2,79;36,58;4,59
2019;1;7;22;-11,87;2,45;36,98;3,95
2019;1;7;23;-12,17;2,27;35,33;3,54
2019;1;8;0;-12,57;2,03;34,79;3,15
2019;1;8;1;-13,02;1,89;33,16;2,87
2019;1;8;2;-13,31;1,78;29,37;2,7
2019;1;8;3;-13,38;1,7;27,04;2,55
2019;1;8;4;-13,3;1,69;27,28;2,49
2019;1;8;5;-13,1;1,56;27,46;2,32
2019;1;8;6;-12,86;1,39;24,98;2,06
2019;1;8;7;-12,25;1,19;22,85;1,83
2019;1;8;8;-9,76;0,98;31,67;1,33
2019;1;8;9;-7,13;0,53;58,17;0,53
2019;1;8;10;-4,69;0,57;207,61;0,61
2019;1;8;11;-2,33;2,34;241,21;2,71
2019;1;8;12;-1,45;3,26;240,61;3,73
2019;1;8;13;-1,64;3,43;236,06;3,97
2019;1;8;14;-2,38;3,12;228,45;3,7
2019;1;8;15;-3,33;2,46;217,27;3,28
2019;1;8;16;-4,24;1,9;207,09;3,13
2019;1;8;17;-4,63;1,94;200,04;3,25
2019;1;8;18;-4,84;1,89;193,4;3,14
2019;1;8;19;-5,13;1,77;185,84;2,95
2019;1;8;20;-5,29;1,71;183,4;2,88
2019;1;8;21;-5,27;1,59;178,87;2,67
2019;1;8;22;-5,24;1,49;174,59;2,55
2019;1;8;23;-5,21;1,35;169,34;2,31
2019;1;9;0;-5,19;1,15;158,99;1,91
2019;1;9;1;-5,17;1,02;140,31;1,75
2019;1;9;2;-5,19;0,93;121,54;1,64
2019;1;9;3;-5,23;0,91;96,88;1,67
2019;1;9;4;-5,07;1,09;74,67;1,96
2019;1;9;5;-4,98;1,41;53,76;2,39
2019;1;9;6;-5,15;1,76;43,03;2,97
2019;1;9;7;-5,52;2,17;39,3;3,72
2019;1;9;8;-4,8;2,61;41,23;4,2
2019;1;9;9;-3,23;3,03;44,9;4,33
2019;1;9;10;-1,75;3,33;47,75;4,2
2019;1;9;11;-0,81;3,36;45,38;3,97
2019;1;9;12;-0,27;3,34;41,3;4,19
2019;1;9;13;-0,07;3,61;39,38;4,69
2019;1;9;14;-0,27;3,67;37,55;5,05
2019;1;9;15;-1,16;3,26;34,95;5,41
2019;1;9;16;-2,68;3,1;31,93;5,73
2019;1;9;17;-3,3;3,28;29,74;5,88
2019;1;9;18;-3,76;3,47;28,82;6,03
2019;1;9;19;-4,44;3,47;26,33;6,03
2019;1;9;20;-4,9;3,67;26,73;6,37
2019;1;9;21;-5,1;3,74;27,9;6,45
2019;1;9;22;-5,24;3,92;29,73;6,91
2019;1;9;23;-5,09;4,17;31,61;7,17
2019;1;10;0;-5,62;3,8;29,83;6,52
2019;1;10;1;-6,01;3,88;30,13;6,6
2019;1;10;2;-5,95;4,35;33,58;7,12
2019;1;10;3;-6,14;4,54;34,56;7,27
2019;1;10;4;-6,54;4,38;35,79;6,83
2019;1;10;5;-6,87;4,21;37,38;6,59
2019;1;10;6;-6,63;4,38;37,75;6,49
2019;1;10;7;-6,13;4,96;39,51;7,04
2019;1;10;8;-5,3;5,54;41,22;7,18
2019;1;10;9;-4,42;6,3;39,21;7,44
2019;1;10;10;-3,55;7,09;37,07;8,47
2019;1;10;11;-2,77;7,46;38,29;9,02
2019;1;10;12;-2,61;7,39;36,01;9
2019;1;10;13;-2,89;7,61;31,57;9,41
2019;1;10;14;-3,47;7,88;28,62;9,85
2019;1;10;15;-4,27;7,39;28,19;9,54
2019;1;10;16;-4,99;6,99;28,34;9,3
2019;1;10;17;-5,42;6,98;26,79;9,3
2019;1;10;18;-5,73;6,41;26,41;8,4
