YEAR;MO;DY;HR;T2M;WS10M;WD10M;WS50M
2019;1;1;0;-1,92;6,46;31,65;9,72
2019;1;1;1;-2,13;6,19;31,91;9,52
2019;1;1;2;-2,24;6,1;31,59;9,5
2019;1;1;3;-2,36;6,1;32,55;9,52
2019;1;1;4;-2,46;6,5;33,33;9,74
2019;1;1;5;-2,63;6,91;34,82;9,96
2019;1;1;6;-2,81;7,24;37,33;10,13
2019;1;1;7;-3,02;7,22;39,03;9,91
2019;1;1;8;-2,27;7,62;41,84;9,45
2019;1;1;9;-1,02;7,49;43,77;8,7
2019;1;1;10;0,41;6,99;45,59;8,03
2019;1;1;11;1,73;5,97;47,81;6,87
2019;1;1;12;2,51;4,9;47,97;5,66
2019;1;1;13;2,77;3,95;46,52;4,64
2019;1;1;14;2,34;2,56;43,52;3,65
2019;1;1;15;0,39;1,93;34,46;3,06
2019;1;1;16;-1,39;2,18;31,98;3,08
2019;1;1;17;-1,97;2,25;36,83;3,25
2019;1;1;18;-2,23;2,23;42,02;3,27
2019;1;1;19;-2,56;2,15;45,59;3,14
2019;1;1;20;-3,12;2,11;46,2;2,98
2019;1;1;21;-3,56;2,07;43,16;2,87
2019;1;1;22;-3,88;2,01;39,49;2,76
2019;1;1;23;-4,1;1,97;35,01;2,69
2019;1;2;0;-4,31;2;30,08;2,73
2019;1;2;1;-4,45;2,02;29,14;2,76
2019;1;2;2;-4,53;2,03;30,51;2,76
2019;1;2;3;-4,67;2,11;31,98;2,88
2019;1;2;4;-4,85;2,25;32,64;3,05
2019;1;2;5;-4,63;2,23;30,24;2,94
2019;1;2;6;-3,97;2,13;28,44;2,88
2019;1;2;7;-3,92;2,11;31,8;2,97
2019;1;2;8;-3,22;2,08;32,55;3,52
2019;1;2;9;-1,8;3,31;32,26;3,76
2019;1;2;10;-0,71;4,39;33,1;4,65
2019;1;2;11;0,25;5,52;39,6;6,32
2019;1;2;12;0,51;6,41;38,77;7,97
2019;1;2;13;0,06;6,01;33,88;7,64
2019;1;2;14;-0,42;5,55;32,59;7,36
2019;1;2;15;-0,95;5,82;26,05;8,12
2019;1;2;16;-1,72;6,95;21,98;9,66
2019;1;2;17;-2,69;7,31;21,69;10,18
2019;1;2;18;-3,39;6,86;22,98;9,97
2019;1;2;19;-3,67;6,67;23,62;9,84
2019;1;2;20;-3,87;6,55;23,02;9,74
2019;1;2;21;-4,13;6;21,86;9,23
2019;1;2;22;-4,31;5,42;18,33;8,83
2019;1;2;23;-4,24;5,54;16,21;9,08
2019;1;3;0;-4,06;6,23;16,77;9,67
2019;1;3;1;-3,96;7,32;17,26;10,7
2019;1;3;2;-3,95;8,52;17,72;11,82
2019;1;3;3;-4,29;9,89;18,18;13,21
2019;1;3;4;-4,97;11,09;20,36;14,38
