YEAR;MO;DY;HR;T2M;WS10M;WS50M;WD10M
2021;1;1;0;1.17;1.64;2.78;224.04
2021;1;1;1;1.23;1.59;2.8;228.58
2021;1;1;2;0.92;1.61;2.63;227.95
2021;1;1;3;0.82;1.59;2.51;224.2
2021;1;1;4;0.65;1.63;2.48;220.72
2021;1;1;5;0.63;1.69;2.55;216.55
2021;1;1;6;0.58;1.79;2.74;204.55
2021;1;1;7;0.47;1.96;3.07;194.04
2021;1;1;8;2.04;1.96;3.38;185.26
2021;1;1;9;3.67;3.29;3.99;180.95
2021;1;1;10;4.41;4.13;4.76;181.19
2021;1;1;11;4.72;4.48;5.14;179.6
2021;1;1;12;4.74;4.74;5.51;178.49
2021;1;1;13;4.7;4.72;5.56;176.58
2021;1;1;14;4.51;4.18;5.06;173.13
2021;1;1;15;4.03;3.06;4.87;170.01
2021;1;1;16;3.23;2.87;5.63;169.33
2021;1;1;17;3.16;3.19;6.08;165.96
2021;1;1;18;2.9;3.25;6.16;162.22
2021;1;1;19;2.08;3.02;6;158.28
2021;1;1;20;2.17;3.07;6.13;156.63
2021;1;1;21;2.37;3.16;6.14;156.22
2021;1;1;22;2.42;3.12;6.06;154.46
2021;1;1;23;2.58;3.07;6.04;153.11
2021;1;2;0;2.79;3.22;6.19;152.57
2021;1;2;1;3.18;3.5;6.38;152.46
2021;1;2;2;3.67;4.09;6.67;154.66
2021;1;2;3;4.19;4.67;6.96;156.22
2021;1;2;4;4.55;4.89;7.14;156.67
2021;1;2;5;4.88;5.08;7.39;156.99
2021;1;2;6;5.05;5.1;7.59;156.89
2021;1;2;7;5.1;4.91;7.29;155.64
2021;1;2;8;5.67;5.06;6.94;156.44
2021;1;2;9;6.39;5.53;7.08;157.39
2021;1;2;10;7.01;6.98;8.94;162.36
2021;1;2;11;7.25;7.59;9.51;165.15
2021;1;2;12;7.3;7.4;9.17;163.63
2021;1;2;13;7.29;7.14;8.92;156.46
2021;1;2;14;7.1;7.28;9.17;148.12
2021;1;2;15;6.6;7.04;9.35;152.64
2021;1;2;16;6.29;6.81;9.37;154.82
2021;1;2;17;6.19;7.23;9.8;158.45
2021;1;2;18;6.14;7.63;10.22;163.29
2021;1;2;19;5.87;7.66;10.08;168.12
2021;1;2;20;4.87;6.9;9.12;170.36
2021;1;2;21;3.98;5.56;7.51;165.44
2021;1;2;22;3.42;4.71;6.51;158.38
2021;1;2;23;2.73;3.69;5.08;154.03
2021;1;3;0;1.94;2.68;3.43;153.73
2021;1;3;1;2.12;1.82;2.43;172.11
2021;1;3;2;2.73;1.35;2.42;200.75
2021;1;3;3;3;1.15;2.15;207.09
2021;1;3;4;2.87;1.38;2.28;180.65
2021;1;3;5;2.55;1.79;3.17;157.36
2021;1;3;6;2.35;2.05;3.65;147.16
2021;1;3;7;1.91;2.24;3.86;139.81
2021;1;3;8;3.76;2.64;4.29;146.59
2021;1;3;9;5.36;3.85;4.64;154.42
2021;1;3;10;6.33;4.67;5.71;167.06
2021;1;3;11;6.71;5.7;7.12;175.6
2021;1;3;12;6.83;6.2;7.71;179.57
2021;1;3;13;6.64;5.74;6.83;178.75
2021;1;3;14;6.22;5.01;6.21;176.42
2021;1;3;15;5.75;4.57;6.23;177.45
2021;1;3;16;5.23;3.99;6.19;179.33
2021;1;3;17;5.06;3.81;6.14;181.29
2021;1;3;18;4.77;3.45;6.05;182.21
2021;1;3;19;4.62;3.33;6.25;183.5
2021;1;3;20;4.25;3.09;6.21;184.2
2021;1;3;21;3.63;2.86;5.81;185.32
2021;1;3;22;2.98;2.93;5.64;185.66
2021;1;3;23;2.32;3.09;5.78;186.24
2021;1;4;0;1.75;3.13;5.54;184.29
2021;1;4;1;1.47;2.85;4.61;179.84
2021;1;4;2;1.32;2.52;3.84;173.42
2021;1;4;3;1.31;2.35;3.47;169.47
2021;1;4;4;1.37;2.2;3.08;158.99
2021;1;4;5;1.41;2.33;3.39;145.51
2021;1;4;6;2.26;1.94;2.75;144.19
2021;1;4;7;2.94;1.57;2.2;153.05
2021;1;4;8;3.2;1.54;2.16;165.89
2021;1;4;9;4.25;0.67;0.91;177.34
2021;1;4;10;4.69;0.46;0.62;318.45
2021;1;4;11;5.17;0.89;1.25;344.74
2021;1;4;12;5.48;1.28;1.68;353
2021;1;4;13;5.48;1.46;1.97;1.84
2021;1;4;14;5.23;1.35;2.06;357.68
2021;1;4;15;4.43;1.33;2.02;341.88
2021;1;4;16;3.12;1.57;2.12;338.94
2021;1;4;17;2.56;1.51;2;345.89
2021;1;4;18;2.19;1.4;1.84;349.07
2021;1;4;19;1.69;1.4;1.85;345.11
2021;1;4;20;1.27;1.32;1.74;338.45
2021;1;4;21;0.84;1.05;1.41;326.19
2021;1;4;22;1.13;0.82;1.04;304.9
2021;1;4;23;0.98;0.77;0.98;276.98
2021;1;5;0;0.8;0.76;0.96;261.12
2021;1;5;1;0.67;0.66;0.84;250.71
2021;1;5;2;0.58;0.58;0.76;232.06
2021;1;5;3;0.44;0.71;0.96;206.85
2021;1;5;4;0.18;0.91;1.26;186.88
2021;1;5;5;0.06;1.2;1.65;169.86
2021;1;5;6;0.01;1.55;2.17;163.02
2021;1;5;7;0.12;1.79;2.58;160.14
2021;1;5;8;1.62;1.81;3.03;162.11
2021;1;5;9;3.4;2.67;3.33;166.45
2021;1;5;10;4.33;3.7;4.29;172.49
2021;1;5;11;4.73;4.08;4.63;175.28
2021;1;5;12;4.58;4.21;4.85;175.21
2021;1;5;13;4.18;3.92;4.69;170.82
2021;1;5;14;3.47;2.89;4.45;164.8
2021;1;5;15;2.7;2.55;4.87;159.73
2021;1;5;16;2.45;2.6;4.97;155.51
2021;1;5;17;2.82;2.98;5.18;154.38
2021;1;5;18;3.05;3.45;5.37;151.58
2021;1;5;19;3.16;3.57;5.44;149.62
2021;1;5;20;3.48;4.04;6.12;159.5
2021;1;5;21;4.09;4.57;6.85;173.32
2021;1;5;22;4.57;5.63;7.87;183.74
2021;1;5;23;4.36;5.56;8.22;187.26
2021;1;6;0;4.05;5.33;8.04;183.19
2021;1;6;1;4.01;5.29;7.92;177.8
2021;1;6;2;4.16;6.16;8.38;179.27
2021;1;6;3;4.19;6.24;8.12;186.4
2021;1;6;4;4.26;5.37;7.12;191.57
2021;1;6;5;4.05;5.01;6.73;199.48
2021;1;6;6;3.34;5.12;6.9;211.22
2021;1;6;7;3.46;4.13;5.84;217.3
2021;1;6;8;3.9;3.65;5.64;216.11
2021;1;6;9;4.27;4.64;5.89;213.26
2021;1;6;10;4.58;5.15;6.25;208.74
2021;1;6;11;4.8;5.56;6.71;208.73
2021;1;6;12;4.8;5.39;6.52;207.09
2021;1;6;13;4.39;4.6;5.53;208.09
2021;1;6;14;3.68;3.49;4.39;208.52
2021;1;6;15;2.89;2.59;3.4;208.65
2021;1;6;16;2.24;1.72;2.23;225
2021;1;6;17;1.28;1.4;1.64;276.41
2021;1;6;18;1.01;1.46;1.82;300.81
2021;1;6;19;0.83;1.42;1.97;312.55
2021;1;6;20;0.54;1.29;2.33;316.47
2021;1;6;21;0.3;1.25;2.43;311.69
2021;1;6;22;0.23;1.01;1.86;308.73
2021;1;6;23;0.4;0.79;1.25;298.84
2021;1;7;0;0.58;0.68;1.04;281.96
2021;1;7;1;0.6;0.65;0.97;274.82
2021;1;7;2;0.34;0.85;1.22;274.76
2021;1;7;3;-0.39;1.07;1.49;285.26
2021;1;7;4;-0.75;1.15;1.57;305.31
2021;1;7;5;-0.94;1.03;1.42;334.98
2021;1;7;6;-1.44;1.16;1.67;10.48
2021;1;7;7;-1.1;1.5;2.13;34.35
2021;1;7;8;-0.41;2.06;2.17;45.77
2021;1;7;9;0.86;1.89;1.88;53.22
2021;1;7;10;2.18;1.3;1.3;64.36
2021;1;7;11;2.44;1;1.11;71.85
